issue_id,title_tfidf,title,issue_url,label
I3J0A3,"[('正则', 0.20932591754491328), ('库', 0.20932591754491328), ('智能', 0.10466295877245664), ('解析', 0.10466295877245664), ('引擎', 0.10466295877245664), ('用到', 0.10466295877245664), ('pygrok', 0.10466295877245664), ('依赖', 0.10466295877245664), ('pythonregex', 0.10466295877245664)]",智能解析引擎所用到的正则库pygrok依赖于正则库python-regex,https://gitee.com/openeuler/A-Ops/issues/I3J0A3,[]
I17TPX,"[('suggest', 0.2302585092994046), ('english', 0.2302585092994046), ('version', 0.2302585092994046), ('provid', 0.1151292546497023), ('provide', 0.1151292546497023), ('readm', 0.1151292546497023), ('readme', 0.1151292546497023)]",suggest to provide English version README,https://gitee.com/openeuler/A-Tune/issues/I17TPX,['kind/documentation']
I189DD,"[('效果', 1.151292546497023)]",效果如何,https://gitee.com/openeuler/A-Tune/issues/I189DD,[]
I18E7N,"[('py', 0.2302585092994046), ('代码', 0.2302585092994046), ('bug', 0.2302585092994046), ('.', 0.15350567286626973), ('workloadcharacter', 0.1151292546497023), ('workloadcharacterization', 0.1151292546497023)]",workload_characterization.py代码bug,https://gitee.com/openeuler/A-Tune/issues/I18E7N,[]
I1CO4A,"[('benchmark', 0.19188209108283716), ('情况', 0.19188209108283716), ('计算', 0.19188209108283716), ('目标', 0.19188209108283716), ('函数', 0.19188209108283716), ('evalu', 0.09594104554141858), ('evaluation', 0.09594104554141858)]",Benchmark有多个evaluation的情况，如何计算目标函数,https://gitee.com/openeuler/A-Tune/issues/I1CO4A,[]
I1CQ6B,"[('mulan', 0.16447036378528898), ('psl', 0.16447036378528898), ('v1', 0.16447036378528898), ('v2', 0.16447036378528898), ('pleas', 0.08223518189264449), ('please', 0.08223518189264449), ('upgrad', 0.08223518189264449), ('upgrade', 0.08223518189264449), ('licens', 0.08223518189264449), ('license', 0.08223518189264449)]",Please upgrade the license from Mulan PSL v1 to v2,https://gitee.com/openeuler/A-Tune/issues/I1CQ6B,[]
I1D5HP,"[('错误', 0.3837641821656743), ('提示', 0.19188209108283716), ('信息', 0.19188209108283716), ('单词', 0.19188209108283716), ('拼写', 0.19188209108283716)]",错误提示信息单词拼写错误,https://gitee.com/openeuler/A-Tune/issues/I1D5HP,[]
I1E4EA,"[('.', 0.10233711524417982), ('joblib', 0.07675283643313487), ('cpuclf', 0.07675283643313487), ('atuneadm', 0.05116855762208991), ('时', 0.05116855762208991), ('模型', 0.05116855762208991), ('导入', 0.05116855762208991), ('出错', 0.05116855762208991), ('【', 0.05116855762208991), ('load', 0.05116855762208991), ('(', 0.05116855762208991), (')', 0.05116855762208991), ('】', 0.05116855762208991), ('analysi', 0.025584278811044955), ('analysis', 0.025584278811044955)]",atune-adm  analysis时模型导入出错【joblib.load(cpu_clf.m)】,https://gitee.com/openeuler/A-Tune/issues/I1E4EA,[]
I1E68F,"[('joblib.', 0.08223518189264449), ('netclf.', 0.08223518189264449), ('cpunetclf.', 0.08223518189264449), ('atuneadm', 0.05482345459509633), ('时', 0.05482345459509633), ('模型', 0.05482345459509633), ('导入', 0.05482345459509633), ('出错', 0.05482345459509633), ('【', 0.05482345459509633), ('load', 0.05482345459509633), ('(', 0.05482345459509633), (')', 0.05482345459509633), ('】', 0.05482345459509633), ('analysi', 0.027411727297548164), ('analysis', 0.027411727297548164)]",atune-adm analysis时模型导入出错【joblib.load(net_clf.m、cpunet_clf.m)】,https://gitee.com/openeuler/A-Tune/issues/I1E68F,[]
I1E76D,"[('httpsgitee.comopeneulercommunitytreemastersigatun', 0.5756462732485115), ('httpsgitee.comopeneulercommunitytreemastersigatune', 0.5756462732485115)]",https://gitee.com/openeuler/community/tree/master/sig/A-Tune,https://gitee.com/openeuler/A-Tune/issues/I1E76D,[]
